trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.045000000000000005}",25,0,-60.457657239796454,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.04000000000000001}",30,0,-124.99457393936588,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.03500000000000001}",25,0,-110.66320539092902,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.03000000000000001}",20,0,-34.68898823446358,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.02500000000000001}",30,0,-31.722552707496707,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.020000000000000007}",30,0,-132.62397702544837,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.015000000000000006}",25,0,-21.497335486239493,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.010000000000000005}",25,0,-69.96974556408193,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.005000000000000005}",20,0,-60.83747791406574,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 5.204170427930421e-18}",25,0,-11.288733744747692,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': -0.004999999999999995}",30,0,10.655294168204053,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': -0.009999999999999995}",20,0,17.081159785185978,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': -0.014999999999999996}",20,0,8.816560115980504,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': -0.019999999999999997}",30,0,36.24740014211334,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': -0.024999999999999998}",20,0,-39.12692348363418,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': -0.03}",25,6,22.291697807289804,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': -0.034999999999999996}",25,0,3.257899852327295,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': -0.039999999999999994}",20,13,-12.972006655654647,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': -0.04499999999999999}",25,8,-20.61316430748014,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': -0.04999999999999999}",20,0,14.133187191748739,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,27.823292534560537,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,33.26127327025333,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-64.37577253504192,"{0: 15, 1: 1, 2: 0, 3: 4, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,7.220304154374424,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,10,8.535795747394493,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,14,8.52909565080455,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,23.571628925044987,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,26.51852321248392,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",35,0,7.903471496449644,"{0: 33, 1: 0, 2: 0, 3: 2, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,30.357123767003248,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
