trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.991}",35,0,-146.35064535218532,"{0: 22, 1: 4, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.982081}",30,0,-140.89615625915525,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.9732422709999999}",25,0,-101.07596391831935,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.9644830905609999}",25,0,-187.90958545203523,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.4, 'e': 0.9558027427459509}",35,0,-182.04477141064908,"{0: 19, 1: 5, 2: 8, 3: 1, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.9472005180612373}",20,0,-75.30080541554312,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.9386757133986862}",20,0,-74.52359278991472,"{0: 10, 1: 8, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.930227631978098}",20,0,-180.50753938765374,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
9,False,"{'a': 0.4, 'e': 0.9218555832902952}",20,0,-31.952801923068538,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.9135588830406824}",25,0,-104.27460723290373,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.9053368530933164}",20,0,-210.88808388691237,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
12,False,"{'a': 0.4, 'e': 0.8971888214154765}",20,0,-71.72922879794903,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.8891141220227372}",20,2,-71.30226916819963,"{0: 7, 1: 6, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0.8811120949245326}",30,11,-107.9383123944232,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 1}",1
15,False,"{'a': 0.4, 'e': 0.8731820860702117}",30,11,-111.6305695404578,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
16,False,"{'a': 0.4, 'e': 0.8653234472955799}",20,0,-78.89691198918582,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.8575355362699196}",20,0,-76.949388323503,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.8498177164434904}",30,0,-93.10154439204095,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.4, 'e': 0.842169356995499}",20,0,-99.47019733593373,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.8345898327825395}",25,0,-100.92623516028367,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.4, 'e': 0.8270785242874966}",25,0,-97.83020199875665,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.4, 'e': 0.8196348175689091}",20,0,-72.69841078337069,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.4, 'e': 0.8122581042107889}",20,4,-86.06944281146606,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 2}",1
24,False,"{'a': 0.4, 'e': 0.8049477812728918}",20,0,-103.44796319687192,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.4, 'e': 0.7977032512414358}",20,0,-38.34297739668575,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
26,False,"{'a': 0.4, 'e': 0.7905239219802629}",25,0,-105.84591538211542,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
27,False,"{'a': 0.4, 'e': 0.7834092066824405}",20,0,-84.89602262708136,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.4, 'e': 0.7763585238222985}",20,0,-98.52277701376036,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
