trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-76.85907012379866,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-156.98469084399048,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-74.15171138452132,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-99.68647977245811,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",25,0,-179.69761739502508,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.97}",30,7,-175.50254146489968,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 4}",1
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-108.48658927834998,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-142.4587901335335,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-89.77575062207745,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",25,5,-185.4986533265546,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-178.27147593748316,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.94}",25,0,-62.16490263194324,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,2,-62.165789949442825,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-183.54917055502895,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-78.77657932034802,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-74.19992512932525,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-89.78441490146142,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-57.80368180075673,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",30,0,-103.59790481935772,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-114.24745526734561,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-88.15573980227208,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-72.89013444113502,"{0: 12, 1: 6, 2: 0, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-148.47696030234562,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-208.77073333205607,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-38.841219093511185,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",30,0,-226.05247440629685,"{0: 14, 1: 6, 2: 5, 3: 2, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-157.98702097445107,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-63.79513419197785,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,-58.92474519009844,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-124.48075347313372,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,0,-98.06128041561898,"{0: 12, 1: 7, 2: 4, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-127.29366926423278,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,0,-74.84540956970348,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-96.81679976449502,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",30,0,-70.34951074049452,"{0: 18, 1: 7, 2: 5, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",30,0,-169.57722338862436,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",35,0,-211.48076357589542,"{0: 22, 1: 3, 2: 4, 3: 3, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-110.98626814244147,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,0,-93.29661966218197,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,3,-65.09775592557088,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",20,0,-39.82093668516744,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,0,-160.44846590640762,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,0,-86.40967990660377,"{0: 20, 1: 0, 2: 1, 3: 3, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,6,-120.94502836523782,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",30,0,-42.483201407476514,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",30,12,-95.25103751099658,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,0,-50.80728654345566,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-73.13840665439054,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,0,-4.687916275587502,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-185.3996395305405,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 4}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",30,12,-57.53856882072666,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-23.666292569588553,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",30,0,-46.401154415558295,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-68.67987758462165,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",30,0,-126.50880302779943,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-61.15041824271018,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,3,-50.59240338816996,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,16,5.5195052992349725,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,0,-26.57341639165405,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-282.32922616714603,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 6}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",30,15,-25.88898829190031,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,0,-126.89318182427404,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,0,-43.33597396641765,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-30.835800371211462,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,0,-108.3617651547628,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
