trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.991}",25,0,-60.0431541002056,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.982081}",20,0,-67.97379912934579,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0.9732422709999999}",20,0,-81.25856599216412,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.9644830905609999}",30,0,-86.40863773032221,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.9558027427459509}",30,0,-91.19921033217992,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.4, 'e': 0.9472005180612373}",25,0,-122.33618985719575,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
7,False,"{'a': 0.4, 'e': 0.9386757133986862}",25,0,-30.420090947785027,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.4, 'e': 0.930227631978098}",20,0,-66.53174953617798,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.4, 'e': 0.9218555832902952}",30,5,-83.03974677581982,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",1
10,False,"{'a': 0.4, 'e': 0.9135588830406824}",25,0,-123.75094582833772,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.9053368530933164}",30,1,-116.87454168505876,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 1}",1
12,False,"{'a': 0.4, 'e': 0.8971888214154765}",25,0,-182.6771232399853,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.4, 'e': 0.8891141220227372}",30,0,-209.3477598770703,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.4, 'e': 0.8811120949245326}",20,0,-72.423713448006,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.8731820860702117}",25,0,-13.388682248193582,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.8653234472955799}",30,0,-245.67560964680973,"{0: 14, 1: 3, 2: 9, 3: 0, 4: 4}",0
17,False,"{'a': 0.4, 'e': 0.8575355362699196}",20,0,-146.8759411600493,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.4, 'e': 0.8498177164434904}",20,0,-43.98267585144621,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.842169356995499}",20,0,-122.4986758024063,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.4, 'e': 0.8345898327825395}",20,0,-166.5486216980188,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
21,False,"{'a': 0.4, 'e': 0.8270785242874966}",20,0,-73.2289756152361,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.4, 'e': 0.8196348175689091}",20,0,-98.32163706022101,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.4, 'e': 0.8122581042107889}",20,0,-97.03541531432926,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
24,False,"{'a': 0.4, 'e': 0.8049477812728918}",20,0,-66.24083968127495,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.4, 'e': 0.7977032512414358}",25,0,-159.81704161739484,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
26,False,"{'a': 0.4, 'e': 0.7905239219802629}",35,10,-150.45854863806755,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",1
27,False,"{'a': 0.4, 'e': 0.7834092066824405}",20,0,-156.92488324400023,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
28,False,"{'a': 0.4, 'e': 0.7763585238222985}",20,0,-100.48921262172536,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
29,False,"{'a': 0.4, 'e': 0.7693712971078979}",25,0,-64.54323620070942,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.7624469554339268}",20,0,-69.16372722222455,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
31,False,"{'a': 0.4, 'e': 0.7555849328350215}",20,0,-54.61777585637642,"{0: 13, 1: 6, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.4, 'e': 0.7487846684395063}",20,12,-50.53706853827287,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.4, 'e': 0.7420456064235508}",30,0,-87.58872834721807,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.4, 'e': 0.7353671959657389}",30,0,-55.12083007718127,"{0: 22, 1: 6, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.4, 'e': 0.7287488912020472}",35,0,-178.68686321972206,"{0: 22, 1: 2, 2: 7, 3: 2, 4: 2}",0
36,False,"{'a': 0.4, 'e': 0.7221901511812288}",25,0,-22.91951033393667,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.4, 'e': 0.7156904398205977}",20,0,-87.09120163891437,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
38,False,"{'a': 0.4, 'e': 0.7092492258622123}",25,2,-79.80396627976737,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 1}",1
39,False,"{'a': 0.4, 'e': 0.7028659828294523}",30,0,-111.12460098088953,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
40,False,"{'a': 0.4, 'e': 0.6965401889839873}",20,0,-106.39082075162825,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.4, 'e': 0.6902713272831315}",20,4,-50.88594138830542,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.4, 'e': 0.6840588853375833}",30,0,-96.60062390797478,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
43,False,"{'a': 0.4, 'e': 0.677902355369545}",30,9,3.429063314596178,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.4, 'e': 0.6718012341712191}",25,0,-25.347552337533966,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.4, 'e': 0.6657550230636781}",25,0,-44.99818206198179,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.4, 'e': 0.659763227856105}",25,14,-2.172858185448832,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.4, 'e': 0.6538253588054}",20,0,-52.96464520808305,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.4, 'e': 0.6479409305761514}",20,0,-31.459770362840516,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.4, 'e': 0.6421094622009661}",20,7,-10.702204445234582,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.4, 'e': 0.6363304770411574}",20,11,-51.56976942757574,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.4, 'e': 0.630603502747787}",20,0,-51.266287146380684,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
52,False,"{'a': 0.4, 'e': 0.6249280712230569}",25,3,-68.9737878241076,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 1}",1
53,False,"{'a': 0.4, 'e': 0.6193037185820495}",25,0,-125.50256707937312,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
54,False,"{'a': 0.4, 'e': 0.613729985114811}",25,0,-160.2319732427105,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
55,False,"{'a': 0.4, 'e': 0.6082064152487777}",25,11,-9.920421427792167,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.6027325575115388}",30,0,-91.04391753180774,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
57,False,"{'a': 0.4, 'e': 0.5973079644939349}",30,8,-74.20672875287693,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
58,False,"{'a': 0.4, 'e': 0.5919321928134894}",20,0,-95.66757047735535,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.4, 'e': 0.586604803078168}",20,0,-69.8936691523357,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.4, 'e': 0.5813253598504645}",25,14,6.299383499837628,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.4, 'e': 0.5760934316118104}",20,0,-79.66558727778417,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.4, 'e': 0.570908590727304}",20,0,26.57106746245479,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.4, 'e': 0.5657704134107583}",30,0,-79.95060854040352,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
64,False,"{'a': 0.4, 'e': 0.5606784796900615}",30,0,-128.55356404783282,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
65,False,"{'a': 0.4, 'e': 0.5556323733728509}",25,19,-0.8586952731212834,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.4, 'e': 0.5506316820124952}",25,1,-87.88273909450959,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 2}",1
67,False,"{'a': 0.4, 'e': 0.5456759968743827}",20,0,-81.76330345766728,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.4, 'e': 0.5407649129025133}",20,0,-0.8980360756874035,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
69,False,"{'a': 0.4, 'e': 0.5358980286863907}",25,0,-35.90273899838323,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.4, 'e': 0.5310749464282132}",30,22,1.6009761230635757,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.4, 'e': 0.5262952719103593}",20,0,-71.10966127228396,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
72,False,"{'a': 0.4, 'e': 0.5215586144631661}",30,20,-6.356357640045071,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.5168645869329976}",25,8,-39.091049333899164,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
