trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.991}",30,1,-208.16830537167604,"{0: 13, 1: 1, 2: 12, 3: 1, 4: 2}",1
2,False,"{'a': 0.4, 'e': 0.982081}",20,0,-118.50303834953948,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.9732422709999999}",25,0,-128.22456269598487,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.9644830905609999}",25,0,-281.31834346851986,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 6}",0
5,False,"{'a': 0.4, 'e': 0.9558027427459509}",25,0,-52.20713473579455,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.4, 'e': 0.9472005180612373}",25,0,-113.37216875902071,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.9386757133986862}",25,0,-107.92074350608154,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
8,False,"{'a': 0.4, 'e': 0.930227631978098}",20,6,-102.32058071476519,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 1}",1
9,False,"{'a': 0.4, 'e': 0.9218555832902952}",20,13,-17.108910519536483,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.4, 'e': 0.9135588830406824}",20,0,-112.78830301737979,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.9053368530933164}",20,0,-152.73321401524137,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.8971888214154765}",20,0,-68.13299319672088,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.8891141220227372}",20,5,-37.268460207597585,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0.8811120949245326}",20,0,-192.16634751405417,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.4, 'e': 0.8731820860702117}",20,0,-101.4015809170684,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.4, 'e': 0.8653234472955799}",20,0,-173.99167654642832,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 0.4, 'e': 0.8575355362699196}",20,0,-253.4062406031977,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 5}",0
18,False,"{'a': 0.4, 'e': 0.8498177164434904}",25,0,-119.4810293242856,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.4, 'e': 0.842169356995499}",25,0,-93.0692409368846,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.8345898327825395}",25,0,-140.67354308412158,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-85.74865708681459,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-72.60791228030834,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-96.27831370232096,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,11,-89.84285845495022,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-191.12378074243944,"{0: 11, 1: 5, 2: 4, 3: 3, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-92.91637653051087,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-136.4834273214298,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,2,-65.8796196567452,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,0,-214.8171551309424,"{0: 23, 1: 2, 2: 5, 3: 1, 4: 4}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-97.9171960227648,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
11,True,"{'a': 0.0, 'e': 0.0}",25,0,-96.069838860039,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
12,True,"{'a': 0.0, 'e': 0.0}",25,0,-91.77825657390812,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,True,"{'a': 0.0, 'e': 0.0}",20,0,-144.70268955200584,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
14,True,"{'a': 0.0, 'e': 0.0}",20,0,-37.52486096052254,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,True,"{'a': 0.0, 'e': 0.0}",25,0,-77.71537939431842,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
16,True,"{'a': 0.0, 'e': 0.0}",25,0,-83.3068421380396,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,True,"{'a': 0.0, 'e': 0.0}",30,0,-136.20913027996684,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
18,True,"{'a': 0.0, 'e': 0.0}",30,0,-139.46908809659854,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
19,True,"{'a': 0.0, 'e': 0.0}",20,0,-137.41785556477777,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,True,"{'a': 0.0, 'e': 0.0}",30,0,-121.11621171939782,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
